"X"",""Y"",""Z"
10.7831199986709,44.0722689945418,626.933051359427
10.785853002007,44.0695099970251,589.244163796106
10.7896810042544,44.0648079947479,812.890203836002
10.7816819995677,44.0729089903482,672.171052972922
10.7798450135925,44.0743800059737,737.211454768434
10.7950880005917,44.0725760001595,758.551081089919
10.789094001381,44.0732219989313,745.121815915696
10.7762739999837,44.0727919995352,778.333827510019
10.7789169963935,44.0742179932152,767.682810572159
10.7802880051912,44.0766360070952,752.975552918377
10.7823419979693,44.0764159987567,792.592658003254
10.7845520020604,44.0771970054286,844.526693836513
10.7766189996011,44.083187001487,687.80484586906
10.7549130071281,44.1003819901644,684.306854813631
10.7789620030633,44.0754570025191,749.078174576218
10.7782800033112,44.0733419996794,804.702371883251
10.7784520052038,44.1320690006996,1667.2365057184
10.7916679981681,44.0555030089439,629.490550800148
10.78227276381583,44.07260140884451,701.9400000000
10.77961358253749,44.07551260922227,466.7311795941
